type,units,512,1024,2048,4096,8192
sequential,1,1.000000,1.000000,1.000000,1.000000,1.000000
mp,12,1.920754,4.151723,5.269131,4.884912,4.464531
mp,10,2.238933,4.176741,5.286114,5.198146,4.575876
mp,8,2.458378,4.187891,5.136144,5.151784,4.751814
mp,4,2.292342,3.222101,3.611215,2.646374,2.860148
mp,2,1.522357,1.779122,1.980890,1.909779,1.746958
cf,12,3.950160,5.151277,5.684929,5.080300,4.461407
cf,10,3.423202,4.684878,5.484253,4.965155,4.362000
cf,8,3.244586,4.561387,5.248339,5.180150,4.742589
cf,4,2.744356,3.470545,3.774478,3.738349,3.673778
cf,2,1.376082,1.572427,1.587527,1.709818,1.754700
mpi4py,12,5.068917,5.241231,5.901150,5.583071,5.070435
mpi4py,10,5.393748,5.035635,6.135829,5.569852,5.200931
mpi4py,8,4.439658,4.957629,6.114858,5.812253,5.333263
mpi4py,4,4.019916,3.842587,3.975330,3.841170,3.840211
mpi4py,2,1.885466,1.826745,1.919147,1.739927,1.787289
numba,12,21.223170,11.996174,5.852854,3.976182,2.873779
